order,value
791,34
792,38
793,17
794,38
795,38
796,37
797,-20
798,36
799,46
800,38
801,19
802,52
803,19
804,-8
805,65
806,17
807,38
808,36
809,61
810,19
811,61
812,47
813,62
814,17
815,41
816,36
817,45
818,19
819,19
820,51
821,61
822,38
823,37
824,38
825,34
826,40
827,19
828,19
829,62
830,35
831,37
832,35
833,38
834,62
835,38
836,61
837,18
838,61
839,59
840,36
841,42
842,19
843,52
844,38
845,64
846,38
847,38
848,51
849,61
850,38
851,19
852,19
853,38
854,42
855,19
856,64
857,38
858,51
859,61
860,17
861,31
862,38
863,38
864,17
865,35
866,60
867,38
868,19
869,19
870,18
871,59
872,33
873,37
874,40
875,38
876,61
877,63
878,38
879,34
880,44
881,38
882,39
883,34
884,19
885,38
886,19
887,34
888,33
889,38
890,33
891,35
892,63
893,38
894,51
895,60
896,38
897,38
898,35
899,59
900,38
901,34
902,18
903,34
904,32
905,39
906,37
907,18
908,48
909,39
910,62
911,-5
912,60
913,65
914,38
915,34
916,38
917,37
918,-35
919,50
920,51
921,38
922,38
923,24
924,38
925,2
926,38
927,6
928,35
929,60
930,33
931,36
932,37
933,-19
934,34
935,19
936,34
937,39
938,34
939,52
940,38
941,33
942,39
943,44
944,52
945,44
946,51
947,33
948,36
949,35
950,46
951,33
952,60
953,35
954,17
955,34
956,61
957,38
958,38
959,51
960,32
961,38
962,51
963,37
964,33
965,48
966,38
967,38
968,-30
969,33
970,33
971,33
972,51
973,33
974,33
975,19
976,51
977,38
978,54
979,54
980,19
981,46
982,46
983,38
984,33
985,39
986,59
987,33
988,-59
989,27
990,34
991,70
992,39
993,34
994,35
995,61
996,60
997,64
998,59
999,-21
1000,51
1001,35
1002,37
1003,63
1004,61
1005,19
1006,38
1007,60
1008,38
1009,38
1010,38
1011,36
1012,50
1013,37
1014,36
1015,70
1016,19
1017,19
1018,38
1019,39
1020,38
1021,19
1022,51
1023,38
1024,-17
1025,44
1026,40
1027,17
1028,63
1029,39
1030,38
1031,38
1032,38
1033,44
1034,54
1035,61
1036,38
1037,36
1038,38
1039,38
1040,24
1041,-58
1042,38
1043,38
1044,38
1045,-24
1046,36
1047,38
1048,34
1049,34
1050,39
1051,62
1052,38
1053,19
1054,59
1055,32
1056,-33
1057,34
1058,19
1059,39
1060,32
1061,63
1062,61
1063,18
1064,32
1065,32
1066,38
1067,39
1068,61
1069,54
1070,34
1071,19
1072,19
1073,60
1074,46
1075,64
1076,33
1077,36
1078,19
1079,35
1080,39
1081,19
1082,41
1083,32
1084,33
1085,32
1086,32
1087,32
1088,17
1089,60
1090,35
1091,60
1092,60
1093,48
1094,36
1095,35
1096,31
1097,18
1098,38
1099,40
1100,37
1101,38
1102,33
1103,38
1104,38
1105,40
1106,19
1107,19
1108,62
1109,35
1110,19
1111,70
1112,35
1113,19
1114,61
1115,35
1116,38
1117,38
1118,39
1119,19
1120,38
1121,19
1122,61
1123,19
1124,34
1125,60
1126,17
1127,26
1128,19
1129,19
1130,61
1131,39
1132,39
1133,19
1134,62
1135,46
1136,-19
1137,32
1138,33
1139,26
1140,38
1141,17
1142,19
1143,38
1144,60
1145,38
1146,35
1147,17
1148,40
1149,19
1150,38
1151,40
1152,38
1153,19
1154,19
1155,17
1156,19
1157,63
1158,63
1159,17
1160,19
1161,61
1162,18
1163,62
1164,62
1165,19
1166,38
1167,63
1168,70
1169,39
1170,38
1171,38
1172,26
1173,63
1174,38
1175,54
1176,62
1177,14
1178,19
1179,52
1180,52
1181,52
1182,62
1183,36
1184,38
1185,-22
1186,33
1187,38
1188,35
1189,35
1190,26
1191,38
1192,37
1193,19
1194,38
1195,38
1196,19
1197,18
1198,37
1199,59
1200,34
1201,39
1202,36
1203,34
1204,62
1205,37
1206,35
1207,33
1208,-40
1209,19
1210,17
1211,63
1212,19
1213,62
1214,19
1215,19
1216,39
1217,60
1218,36
1219,-54
1220,38
1221,37
1222,39
1223,54
1224,38
1225,51
1226,61
1227,38
1228,38
1229,60
1230,17
1231,39
1232,52
1233,52
1234,38
1235,38
1236,44
1237,38
1238,19
1239,38
1240,38
1241,-30
1242,38
1243,17
1244,38
1245,32
1246,38
1247,38
1248,37
1249,34
1250,38
1251,38
1252,38
1253,17
1254,19
1255,47
1256,17
1257,38
1258,17
1259,38
1260,35
1261,51
1262,51
1263,38
1264,38
1265,19
1266,51
1267,36
1268,36
1269,39
1270,38
1271,60
1272,19
1273,42
1274,12
1275,38
1276,17
1277,14
1278,36
1279,36
1280,39
1281,61
1282,49
1283,33
1284,36
1285,35
1286,59
1287,45
1288,36
1289,49
1290,44
1291,40
1292,36
1293,60
1294,44
1295,62
1296,38
1297,44
1298,61
1299,38
1300,27
1301,37
1302,37
1303,35
1304,35
1305,37
1306,33
1307,48
1308,61
1309,48
1310,40
1311,35
1312,64
1313,19
1314,35
1315,37
1316,37
1317,19
1318,19
1319,19
1320,33
1321,60
1322,53
1323,19
1324,33
1325,35
1326,47
1327,61
1328,2
1329,64
1330,36
1331,33
1332,7
1333,-38
1334,39
1335,35
1336,44
1337,-37
1338,38
1339,38
1340,38
1341,36
1342,38
1343,61
1344,36
1345,38
1346,35
1347,34
1348,17
1349,36
1350,39
1351,61
1352,33
1353,63
1354,38
1355,38
1356,18
1357,63
1358,33
1359,37
1360,36
1361,62
1362,60
1363,38
1364,38
1365,38
1366,59
1367,38
1368,38
1369,38
1370,61
1371,35
1372,59
1373,38
1374,38
1375,38
1376,38
1377,39
1378,34
1379,38
1380,48
1381,38
1382,18
1383,65
1384,38
1385,35
1386,18
1387,38
1388,38
1389,19
1390,19
1391,64
1392,47
1393,36
1394,38
1395,36
1396,36
1397,33
1398,44
1399,19
1400,54
1401,18
1402,36
1403,38
1404,38
1405,33
1406,38
1407,33
1408,61
1409,17
1410,17
1411,33
1412,66
1413,32
1414,19
1415,19
1416,40
1417,32
1418,62
1419,63
1420,33
1421,33
1422,38
1423,33
1424,61
1425,19
1426,19
1427,54
1428,54
1429,61
1430,36
1431,38
1432,19
1433,63
1434,19
1435,38
1436,38
1437,19
1438,17
1439,38
1440,61
1441,19
1442,36
1443,34
1444,33
1445,61
1446,35
1447,38
1448,61
1449,36
1450,40
1451,60
1452,61
1453,34
1454,34
1455,50
1456,35
1457,38
1458,33
1459,23
1460,33
1461,19
1462,44
1463,36
1464,60
1465,63
1466,38
1467,19
1468,38
1469,62
1470,57
1471,35
1472,35
1473,62
1474,54
1475,17
1476,17
1477,63
1478,37
1479,62
1480,38
1481,38
1482,38
1483,38
1484,19
1485,36
1486,48
1487,53
1488,36
1489,36
1490,18
1491,38
1492,38
1493,37
1494,61
1495,19
1496,61
1497,44
1498,44
1499,19
1500,63
1501,38
1502,46
1503,19
1504,60
1505,19
1506,63
1507,48
1508,19
1509,34
1510,36
1511,6
1512,35
1513,19
1514,38
1515,-60
1516,56
1517,64
1518,34
1519,64
1520,61
1521,19
1522,58
1523,38
1524,35
1525,38
1526,38
1527,35
1528,62
1529,62
1530,38
1531,19
1532,38
1533,33
1534,17
1535,40
1536,38
1537,-22
1538,51
1539,-14
1540,37
1541,60
1542,37
1543,17
1544,33
1545,33
1546,19
1547,45
1548,36
1549,38
1550,38
1551,34
1552,39
1553,36
1554,34
1555,38
1556,46
1557,41
1558,37
1559,38
1560,38
1561,38
1562,63
1563,38
1564,61
1565,35
1566,60
1567,37
1568,42
1569,35
1570,36
1571,38
1572,35
1573,34
1574,37
1575,64
1576,64
1577,39
1578,33
1579,33
1580,33
1581,-10
1582,46
1583,19
1584,33
1585,33
1586,-24
1587,35
1588,35
1589,35
1590,-2
1591,64
1592,19
1593,49
1594,65
1595,19
1596,19
1597,39
1598,33
1599,63
1600,34
1601,19
1602,19
1603,-7
1604,33
1605,60
1606,34
1607,34
1608,37
1609,34
1610,38
1611,48
1612,64
1613,48
1614,19
1615,17
1616,19
1617,62
1618,33
1619,49
1620,39
1621,51
1622,36
1623,46
1624,19
1625,46
1626,18
1627,19
1628,39
1629,19
1630,31
1631,34
1632,34
1633,38
1634,36
1635,38
1636,39
1637,38
1638,35
1639,64
1640,60
1641,36
1642,41
1643,34
1644,19
1645,39
1646,35
1647,38
1648,51
1649,51
1650,35
1651,38
1652,34
1653,34
1654,38
1655,39
1656,35
1657,34
1658,59
1659,38
1660,63
1661,19
1662,41
1663,41
1664,38
1665,38
1666,33
1667,19
1668,3
1669,19
1670,35
1671,17
1672,59
1673,36
1674,60
1675,38
1676,38
1677,33
1678,37
1679,36
1680,36
1681,36
1682,51
1683,36
1684,63
1685,34
1686,17
1687,38
1688,39
1689,55
1690,39
1691,35
1692,35
1693,-24
1694,35
1695,19
1696,19
1697,19
1698,40
1699,38
1700,33
1701,-41
1702,40
1703,33
1704,44
1705,33
1706,64
1707,19
1708,17
1709,19
1710,63
1711,60
1712,33
1713,38
1714,38
1715,64
1716,38
1717,19
1718,19
1719,59
1720,39
1721,19
1722,38
1723,38
1724,63
1725,41
1726,-20
1727,46
1728,64
1729,39
1730,45
1731,46
1732,63
1733,19
1734,63
1735,53
1736,35
1737,59
1738,19
1739,32
1740,34
1741,46
1742,35
1743,44
1744,19
1745,52
1746,38
1747,18
1748,63
1749,62
1750,32
1751,38
1752,44
1753,63
1754,38
1755,36
1756,38
1757,33
1758,35
1759,36
1760,47
1761,19
1762,60
1763,38
1764,38
1765,38
1766,38
1767,39
1768,35
1769,37
1770,19
1771,52
1772,62
1773,33
1774,36
1775,52
1776,39
1777,19
1778,36
1779,52
1780,35
1781,19
1782,18
1783,53
1784,51
1785,35
1786,38
1787,38
1788,64
1789,36
1790,33
1791,35
1792,35
1793,36
1794,39
1795,34
1796,58
1797,38
1798,34
1799,62
1800,39
1801,34
1802,38
1803,38
1804,60
1805,38
1806,35
1807,38
1808,63
1809,39
1810,34
1811,45
1812,35
1813,19
1814,38
1815,33
1816,33
1817,39
1818,40
1819,38
1820,59
1821,38
1822,32
1823,33
1824,44
1825,38
1826,52
1827,35
1828,34
1829,63
1830,61
1831,37
1832,37
1833,37
1834,37
1835,37
1836,37
1837,33
1838,19
1839,17
1840,47
1841,63
1842,35
1843,62
1844,37
1845,14
1846,37
1847,38
1848,37
1849,37
1850,37
1851,37
1852,40
1853,47
1854,34
1855,38
1856,36
1857,39
1858,38
1859,38
1860,19
1861,60
1862,19
1863,47
1864,32
1865,33
1866,33
1867,38
1868,38
1869,38
1870,-23
1871,18
1872,38
1873,38
1874,13
1875,33
1876,33
1877,59
1878,62
1879,33
1880,38
1881,38
1882,44
1883,35
1884,35
1885,61
1886,38
1887,46
1888,46
1889,35
1890,40
1891,38
1892,61
1893,38
1894,36
1895,17
1896,36
1897,38
1898,12
1899,39
1900,46
1901,47
1902,38
1903,47
1904,36
1905,18
1906,38
1907,38
1908,38
1909,38
1910,36
1911,36
1912,38
1913,38
1914,38
1915,38
1916,38
1917,61
1918,38
1919,19
1920,37
1921,38
1922,38
1923,38
1924,39
1925,38
1926,40
1927,38
1928,63
1929,60
1930,38
1931,-16
1932,60
1933,38
1934,36
1935,63
1936,38
1937,33
1938,38
1939,19
1940,39
1941,18
1942,33
1943,38
1944,33
1945,36
1946,38
1947,35
1948,44
1949,34
1950,40
1951,62
1952,33
1953,-32
1954,60
1955,19
1956,17
1957,38
1958,45
1959,-3
1960,40
1961,48
1962,17
1963,33
1964,60
1965,44
1966,38
1967,69
1968,34
1969,36
1970,39
1971,32
1972,18
1973,19
1974,37
1975,38
1976,35
1977,38
1978,34
1979,31
1980,37
1981,36
1982,-24
1983,40
1984,33
1985,34
1986,60
1987,-20
1988,38
1989,19
1990,32
1991,63
1992,36
1993,38
1994,38
1995,44
1996,62
1997,38
1998,38
1999,35
2000,19
2001,38
2002,35
2003,46
2004,46
2005,46
2006,46
2007,46
2008,38
2009,46
2010,46
2011,46
2012,17
2013,44
2014,46
2015,34
2016,-37
2017,46
2018,38
2019,60
2020,46
2021,38
2022,33
2023,33
2024,38
2025,60
2026,39
2027,52
2028,36
2029,19
2030,61
2031,36
2032,61
2033,19
2034,36
2035,46
2036,41
2037,38
2038,33
2039,38
2040,7
2041,36
2042,19
2043,33
2044,37
2045,37
2046,34
2047,34
2048,46
2049,38
2050,19
2051,32
2052,38
2053,35
2054,60
2055,35
2056,34
2057,61
2058,36
2059,-21
2060,1
2061,36
2062,38
2063,59
2064,46
2065,38
2066,19
2067,46
2068,62
2069,0
2070,-17
2071,62
2072,35
2073,46
2074,62
2075,38
2076,35
2077,0
2078,33
2079,19
2080,59
2081,37
2082,-17
2083,37
2084,44
2085,38
2086,35
2087,-39
2088,33
2089,61
2090,37
2091,38
2092,38
2093,62
2094,62
2095,38
2096,38
2097,38
2098,67
2099,38
2100,38
2101,38
2102,38
2103,60
2104,60
2105,60
2106,36
2107,38
2108,38
2109,-8
2110,46
2111,64
2112,35
2113,32
2114,35
2115,38
2116,38
2117,38
2118,44
2119,44
2120,44
2121,15
2122,38
2123,59
2124,37
2125,44
2126,44
2127,38
2128,36
2129,60
2130,33
2131,39
2132,38
2133,60
2134,62
2135,19
2136,38
2137,35
2138,36
2139,35
2140,44
2141,65
2142,38
2143,38
2144,44
2145,38
2146,33
2147,63
2148,38
2149,39
2150,-12
2151,35
2152,60
2153,38
2154,38
2155,35
2156,38
2157,33
2158,63
2159,19
2160,38
2161,38
2162,62
2163,33
2164,61
2165,38
2166,36
2167,60
2168,58
2169,38
