Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,516353500,100,3710,5,6429.0,0.21661051212938007
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,507753700,0,3710,6,7287.0,0.2455188679245283
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,578165000,0,3710,7,7585.0,0.25555929919137466
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,509835000,0,3710,8,7852.0,0.26455525606469005
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks3.csv,REGER-64-DOUBLE,695342400,100,3710,9,7945.0,0.267688679245283
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,346826000,100,3710,1,4318.0,0.14548517520215634
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,383834100,0,3710,2,4984.0,0.16792452830188678
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,415187700,100,3710,3,5426.0,0.1828167115902965
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,447556500,0,3710,4,5825.0,0.19626010781671158
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,490120600,0,3710,5,6095.0,0.20535714285714285
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,495243800,0,3710,6,6947.0,0.2340633423180593
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,525666000,0,3710,7,7251.0,0.24430592991913747
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,574278500,0,3710,8,7538.0,0.2539757412398922
E:\encoding-reorder-my\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks4.csv,REGER-64-DOUBLE,598202300,0,3710,9,7595.0,0.25589622641509435
