Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,p,Compressed Size,Compression Ratio
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-64-DOUBLE,868342700,100,7280,5,21209.0,0.364165521978022
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-64-DOUBLE,885482200,100,7280,6,22617.0,0.38834134615384613
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-64-DOUBLE,755389400,100,7280,7,23720.0,0.4072802197802198
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-64-DOUBLE,1013202200,100,7280,8,25142.0,0.4316964285714286
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle3.csv,REGER-64-DOUBLE,907385600,100,7280,9,26428.0,0.4537774725274725
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,397137500,0,7280,1,17964.0,0.3084478021978022
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,414161800,0,7280,2,19515.0,0.3350789835164835
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,457649500,0,7280,3,21183.0,0.3637190934065934
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,478079000,100,7280,4,22509.0,0.38648695054945054
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,499154400,0,7280,5,23654.0,0.406146978021978
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,583982800,100,7280,6,24875.0,0.42711195054945056
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,652708400,100,7280,7,25963.0,0.44579326923076923
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,753565200,100,7280,8,27306.0,0.468853021978022
E:\encoding-reorder-my\reorder\iotdb_test_small\Cyber-Vehicle\syndata_vehicle4.csv,REGER-64-DOUBLE,834094000,100,7280,9,28595.0,0.4909855769230769
