Encoding,Dataset,Block Size,Compression Ratio
REGER,Nifty-Stocks,6,5.425875653698107
REGER,Nifty-Stocks,7,6.273515101694223
REGER,Nifty-Stocks,8,6.208556614925222
REGER,Nifty-Stocks,9,5.033364806595464
REGER,Nifty-Stocks,10,5.403687098615429
REGER,Nifty-Stocks,11,5.657542911274474
REGER,Nifty-Stocks,12,5.492894820463543
REGER,Nifty-Stocks,13,5.492894820463543
REGER-Without-Reordering,Nifty-Stocks,4,2.8160481470350396
REGER-Without-Reordering,Nifty-Stocks,5,3.492247017123439
REGER-Without-Reordering,Nifty-Stocks,6,3.9602655992132068
REGER-Without-Reordering,Nifty-Stocks,7,4.278485045026041
REGER-Without-Reordering,Nifty-Stocks,8,4.435309524900271
REGER-Without-Reordering,Nifty-Stocks,9,4.405019180381628
REGER-Without-Reordering,Nifty-Stocks,10,4.587286375026693
REGER-Without-Reordering,Nifty-Stocks,11,4.736344887978451
REGER-Without-Reordering,Nifty-Stocks,12,5.492894820463543
REGER-Without-Reordering,Nifty-Stocks,13,5.492894820463543
REGER,TH-Climate,4,2.6437501254188995
REGER,TH-Climate,5,3.3080815055680413
REGER,TH-Climate,6,3.950997150997151
REGER,TH-Climate,7,4.358445468154263
REGER,TH-Climate,8,6.987046391684237
REGER,TH-Climate,9,7.219849022482228
REGER,TH-Climate,10,7.234518073116154
REGER,TH-Climate,11,7.158260775071654
REGER,TH-Climate,12,6.999203102587261
REGER,TH-Climate,13,6.577105486495931
REGER-Without-Reordering,TH-Climate,4,2.6279428118345796
REGER-Without-Reordering,TH-Climate,5,3.2083285135916717
REGER-Without-Reordering,TH-Climate,6,3.7311243273860106
REGER-Without-Reordering,TH-Climate,7,4.044762372589956
REGER-Without-Reordering,TH-Climate,8,4.2137819641457845
REGER-Without-Reordering,TH-Climate,9,4.287769315888824
REGER-Without-Reordering,TH-Climate,10,4.305143454676165
REGER-Without-Reordering,TH-Climate,11,4.293463471863519
REGER-Without-Reordering,TH-Climate,12,4.249493996500311
REGER-Without-Reordering,TH-Climate,13,4.160191990400481
REGER,TY-Fuel,4,2.806186257899183
REGER,TY-Fuel,5,3.3678272246860717
REGER,TY-Fuel,6,3.716273226707668
REGER,TY-Fuel,7,3.7119117031968885
REGER,TY-Fuel,8,3.6923420849996282
REGER,TY-Fuel,9,3.65085407635725
REGER,TY-Fuel,10,3.745771360535219
REGER,TY-Fuel,11,3.7304256173459147
REGER,TY-Fuel,12,3.7392463651456462
REGER,TY-Fuel,13,3.700430658933061
REGER-Without-Reordering,TY-Fuel,4,2.5283407179365067
REGER-Without-Reordering,TY-Fuel,5,2.9722123637236133
REGER-Without-Reordering,TY-Fuel,6,3.2679307502061
REGER-Without-Reordering,TY-Fuel,7,3.4005707651570174
REGER-Without-Reordering,TY-Fuel,8,3.470252477501138
REGER-Without-Reordering,TY-Fuel,9,3.4485358512014197
REGER-Without-Reordering,TY-Fuel,10,3.540803201372017
REGER-Without-Reordering,TY-Fuel,11,3.558284411410926
REGER-Without-Reordering,TY-Fuel,12,3.570699367050601
REGER-Without-Reordering,TY-Fuel,13,3.531633840963627
REGER,TY-Transport,4,3.099764218911198
REGER,TY-Transport,5,3.9187870970184795
REGER,TY-Transport,6,4.969705006884025
REGER,TY-Transport,7,5.905604813499352
REGER,TY-Transport,8,6.706704501005749
REGER,TY-Transport,9,6.992929430978652
REGER,TY-Transport,10,7.135287574007142
REGER,TY-Transport,11,7.128845006268845
REGER,TY-Transport,12,7.048438693467167
REGER,TY-Transport,13,7.064923183865182
REGER-Without-Reordering,TY-Transport,4,2.7349511909492747
REGER-Without-Reordering,TY-Transport,5,3.3746203681177223
REGER-Without-Reordering,TY-Transport,6,3.8943612000198007
REGER-Without-Reordering,TY-Transport,7,4.238363825116117
REGER-Without-Reordering,TY-Transport,8,4.434211645939933
REGER-Without-Reordering,TY-Transport,9,4.538542499471172
REGER-Without-Reordering,TY-Transport,10,4.595442329801152
REGER-Without-Reordering,TY-Transport,11,4.6184787842428525
REGER-Without-Reordering,TY-Transport,12,4.6169156277351275
REGER-Without-Reordering,TY-Transport,13,4.668361650345071
REGER,USGS-Earthquakes,4,2.235143807647137
REGER,USGS-Earthquakes,5,2.6768950997095664
REGER,USGS-Earthquakes,6,3.071884919294928
