Encoding,Dataset,p,Compression Ratio
REGER-64-DOUBLE,Metro-Traffic,7,3.1464869407704175
REGER-64-DOUBLE,Metro-Traffic,8,3.081836199731475
REGER-64-DOUBLE,Metro-Traffic,9,3.0205219788827273
REGER-32-FLOAT,Nifty-Stocks,1,6.831367762170179
REGER-32-FLOAT,Nifty-Stocks,2,6.112722125873446
REGER-32-FLOAT,Nifty-Stocks,3,5.714091171512597
REGER-32-FLOAT,Nifty-Stocks,4,5.390764124367322
REGER-32-FLOAT,Nifty-Stocks,5,5.235339892344019
REGER-32-FLOAT,Nifty-Stocks,6,4.640659743468896
REGER-32-FLOAT,Nifty-Stocks,7,4.528192084815035
REGER-32-FLOAT,Nifty-Stocks,8,4.422356077738605
REGER-32-FLOAT,Nifty-Stocks,9,4.382633886214667
REGER-64-DOUBLE,Nifty-Stocks,1,6.4736283526129075
REGER-64-DOUBLE,Nifty-Stocks,2,5.69063871455697
REGER-64-DOUBLE,Nifty-Stocks,3,5.2305475360841145
REGER-64-DOUBLE,Nifty-Stocks,4,4.860840737110331
REGER-64-DOUBLE,Nifty-Stocks,5,4.645167520482995
REGER-64-DOUBLE,Nifty-Stocks,6,4.101736532461256
REGER-64-DOUBLE,Nifty-Stocks,7,3.9495107325451597
REGER-64-DOUBLE,Nifty-Stocks,8,3.8091509694084005
REGER-64-DOUBLE,Nifty-Stocks,9,3.7604814811094647
REGER-32-FLOAT,TH-Climate,1,7.143899033443139
REGER-32-FLOAT,TH-Climate,2,6.817916009004584
REGER-32-FLOAT,TH-Climate,3,6.580349505834462
REGER-32-FLOAT,TH-Climate,4,6.338017835988286
REGER-32-FLOAT,TH-Climate,5,6.208686534281355
REGER-32-FLOAT,TH-Climate,6,5.985257873635672
REGER-32-FLOAT,TH-Climate,7,5.8141939042890645
REGER-32-FLOAT,TH-Climate,8,5.706686880719045
REGER-32-FLOAT,TH-Climate,9,5.525418219754758
REGER-64-DOUBLE,TH-Climate,1,6.950186618835973
REGER-64-DOUBLE,TH-Climate,2,6.556321381472544
REGER-64-DOUBLE,TH-Climate,3,6.260167140846158
REGER-64-DOUBLE,TH-Climate,4,5.970373811128798
REGER-64-DOUBLE,TH-Climate,5,5.791128425193821
REGER-64-DOUBLE,TH-Climate,6,5.536302226144327
REGER-64-DOUBLE,TH-Climate,7,5.335709331699836
REGER-64-DOUBLE,TH-Climate,8,5.192523327651272
REGER-64-DOUBLE,TH-Climate,9,4.995345750983459
REGER-32-FLOAT,TY-Fuel,1,3.7540959800993767
REGER-32-FLOAT,TY-Fuel,2,3.2528330994641523
REGER-32-FLOAT,TY-Fuel,3,2.9837489556125947
REGER-32-FLOAT,TY-Fuel,4,2.657982552798682
REGER-32-FLOAT,TY-Fuel,5,2.4875434567064527
REGER-32-FLOAT,TY-Fuel,6,2.345960064231803
REGER-32-FLOAT,TY-Fuel,7,2.21443854150955
REGER-32-FLOAT,TY-Fuel,8,2.0876526196599574
REGER-32-FLOAT,TY-Fuel,9,1.9920365441214651
