Input Direction,Encoding Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,k,Compression Ratio
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,17529518900,100,29512,44329.0,10,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,16877632700,100,29512,44329.0,9,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,17178718000,100,29512,44329.0,8,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,12129445400,100,29512,44329.0,7,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,11081963800,100,29512,44329.0,6,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,10982276300,100,29512,44329.0,5,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,10482434700,0,29512,44329.0,4,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,11353160900,100,29512,44329.0,3,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,4689129800,0,29512,44329.0,2,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport4.csv,REGER,3197259100,100,29512,44329.0,1,0.18775836947682298
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,61384148500,100,34048,31147.0,10,0.11434959468984962
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,42152713600,100,34048,31142.0,9,0.1143312382518797
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,33171442600,0,34048,31197.0,8,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,31825335400,100,34048,31197.0,7,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,28726173100,100,34048,31197.0,6,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,24032640100,100,34048,31197.0,5,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,25558528100,0,34048,31196.0,4,0.11452948778195489
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,15112075400,0,34048,31197.0,3,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,15194057600,0,34048,31197.0,2,0.11453315906954888
C:\Users\xiaoj\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Transport\syndata_transport6.csv,REGER,12037819000,100,34048,31197.0,1,0.11453315906954888
