Order,Value
712,2049
713,2049
714,2048
715,2048
716,2048
717,2048
718,0
719,0
720,1
721,2
722,3
723,3
724,1
725,2050
726,2052
727,2053
728,2051
729,2049
730,2
731,5
732,6
733,4
734,1
735,2050
736,2051
737,2051
738,2051
739,2050
740,2050
741,2049
742,1
743,3
744,4
745,3
746,1
747,2048
748,2049
749,2050
750,2050
751,2050
752,2050
753,2049
754,2048
755,1
756,2
757,3
758,3
759,3
760,1
761,0
762,2048
763,2049
764,2049
765,2050
766,2051
767,2050
768,2049
769,1
770,1
771,1
772,1
773,1
774,2
775,1
776,2048
777,2049
778,2050
779,2050
780,2048
781,1
782,2
783,1
784,1
785,2049
786,2050
787,2049
788,0
789,1
790,1
791,0
792,2049
793,2049
794,2049
795,2049
796,1
797,2
798,3
799,2
800,1
801,2049
802,2050
803,2051
804,2050
805,2049
806,1
807,2
808,1
809,0
810,2049
811,2048
812,2049
813,2049
814,2049
815,2049
816,2049
817,0
818,2
819,4
820,3
821,1
822,2049
823,2050
824,2050
825,2050
826,2048
827,0
828,0
829,2048
830,2049
831,2049
832,2048
833,1
834,1
835,1
836,2049
837,2050
838,2050
839,2048
840,1
841,2
842,2
843,1
844,0
845,0
846,2048
847,2049
848,2050
849,2050
850,2049
851,1
852,2
853,3
854,2
855,0
856,2049
857,2051
858,2051
859,2050
860,2048
861,2
862,3
863,2
864,1
865,2048
866,2049
867,2049
868,2050
869,2051
870,2050
871,2048
872,2
873,3
874,4
875,4
876,2
877,2048
878,2051
879,2052
880,2052
881,2050
882,2048
883,1
884,2
885,3
886,3
887,2
888,2049
889,2051
890,2052
891,2050
892,2049
893,0
894,1
895,1
896,2048
897,2048
898,0
899,2
900,2
901,2
902,2
903,0
904,2050
905,2051
906,2051
907,2050
908,2048
909,1
910,1
911,1
912,1
913,1
914,1
915,2049
916,2050
917,2050
918,2049
919,0
920,2
921,3
922,3
923,1
924,2049
925,2051
926,2052
927,2052
928,2050
929,0
930,2
931,4
932,4
933,4
934,3
935,1
936,2050
937,2053
938,2054
939,2054
940,2051
941,1
942,4
943,5
944,4
945,3
946,2
947,2048
948,2049
949,2050
950,2050
951,2050
952,2049
953,2048
954,0
955,2048
956,2048
957,2049
958,2049
959,2049
960,2049
961,1
962,2
963,3
964,2
965,1
966,2049
967,2050
968,2050
969,2050
970,2049
971,2048
972,1
973,1
974,2
975,2
976,2
977,1
978,2048
979,2049
980,2050
981,2051
982,2051
983,2050
984,0
985,1
986,2
987,2
988,3
989,3
990,2
991,1
992,2050
993,2052
994,2052
995,2050
996,2049
997,0
998,2048
999,0
1000,2
1001,2
1002,2
1003,2
1004,1
1005,1
1006,0
1007,2048
1008,2049
1009,2050
1010,2050
1011,2050
1012,2050
1013,2049
1014,2048
1015,1
1016,1
1017,2
1018,2
1019,2
1020,2
1021,1
1022,2049
1023,2051
1024,2052
1025,2052
1026,2049
1027,3
1028,5
1029,3
1030,2048
1031,2052
1032,2052
1033,2051
1034,1
1035,4
1036,6
1037,6
1038,3
1039,2049
1040,2053
1041,2055
1042,2055
1043,2052
1044,0
1045,4
1046,4
1047,4
1048,2
1049,0
1050,2048
1051,2049
1052,2049
1053,2048
1054,2048
1055,2049
1056,2050
1057,2049
1058,2048
1059,1
1060,1
1061,1
1062,0
1063,2048
1064,2049
1065,2049
1066,1
1067,3
1068,3
1069,1
1070,2049
1071,2051
1072,2052
1073,2052
1074,2051
1075,2048
1076,2
1077,4
1078,4
1079,3
1080,1
1081,2048
1082,2050
1083,2050
1084,2051
1085,2051
1086,2050
1087,0
1088,2
1089,2
1090,3
1091,2
1092,1
1093,0
1094,2049
1095,2051
1096,2051
1097,2050
1098,2049
1099,1
1100,3
1101,3
1102,3
1103,1
1104,2050
1105,2051
1106,2052
1107,2051
1108,2049
1109,1
1110,2
1111,2
1112,1
1113,1
1114,0
1115,2049
1116,2050
1117,2050
1118,2048
1119,2
1120,3
1121,3
1122,1
1123,2049
1124,2051
1125,2051
1126,2051
1127,2049
1128,1
