Order,Timestamp
1,0
2,5
3,7
4,9
5,16
6,23
7,29
8,37
9,38
10,39
11,46
12,57
13,62
14,71
15,122
16,250
17,280
18,406
19,467
20,525
21,577
22,662
23,869
24,881
25,1031
26,1265
27,1397
28,1411
29,1708
30,1849
31,2087
32,2434
33,2465
34,2496
35,2524
36,2532
37,2611
38,2899
39,3015
40,3045
41,3103
42,3181
43,3235
44,3256
45,3322
46,3339
47,3364
48,3367
49,3370
50,3430
51,3520
52,3576
53,3637
54,3644
55,3838
56,3975
57,3994
58,4087
59,4122
60,4175
61,4176
62,4249
63,4253
64,4298
65,4496
66,4527
67,4561
68,4653
69,4701
70,4820
71,4972
72,5028
73,5038
74,5071
75,5273
76,5301
77,5353
78,5442
79,5476
80,5577
81,5874
82,5921
83,5970
84,6045
85,6146
86,6182
87,6216
88,6341
89,6400
90,6408
91,6422
92,6445
93,6540
94,6558
95,6678
96,6700
97,6754
98,6789
99,6836
100,6849
101,7005
102,7052
103,7062
104,7085
105,7126
106,7158
107,7180
108,7199
109,7211
110,7213
111,7219
112,7250
113,7347
114,7583
115,7602
116,7682
117,7801
118,8041
119,8050
120,8083
121,8101
122,8147
123,8162
124,8220
125,8248
126,8335
127,8368
128,8434
129,8952
130,8979
131,9024
132,9145
133,9146
134,9198
135,9200
136,9349
137,9353
138,9416
139,9639
140,9696
141,9712
142,9730
143,9735
144,9766
145,9804
146,9905
147,9944
148,9985
149,10001
150,10048
151,10113
152,10146
153,10167
154,10185
155,10204
156,10214
157,10323
158,10346
159,10627
160,10705
161,10723
162,10756
163,10887
164,10953
165,11045
166,11427
167,11440
168,11453
169,11527
170,11607
171,11683
172,11761
173,11888
174,12053
175,12058
176,12062
177,12070
178,12075
179,12321
180,12386
181,12503
182,12597
183,12606
184,12679
185,12787
186,12796
187,12880
188,12926
189,12984
190,13047
191,13090
192,13108
193,13211
194,13273
195,13293
196,13325
197,13385
198,13387
199,13389
200,13393
201,13451
202,13453
203,13458
204,13459
205,13463
206,13469
207,13476
208,13492
209,13579
210,13671
211,13761
212,13791
213,13795
214,13801
215,13890
216,13928
217,13933
218,13994
219,14017
220,14046
221,14135
222,14277
223,14306
224,14399
225,14422
226,14516
227,14631
228,14694
229,14737
230,14776
231,14949
232,14978
233,15013
234,15033
235,15076
236,15320
237,15450
238,15478
239,15522
240,15815
241,15914
242,15984
243,15987
244,15995
245,16001
246,16036
247,16205
248,16308
249,16414
250,16584
251,16709
252,16936
253,16980
254,16995
255,16999
256,17000
257,17107
258,17134
259,17176
260,17193
261,17219
262,17240
263,17251
264,17278
265,17374
266,17399
267,17413
268,17421
269,17473
270,17474
271,17480
272,17519
273,17548
274,17656
275,17898
276,17936
277,17982
278,18067
279,18156
280,18238
281,18305
282,18346
283,18439
284,18618
285,18630
286,18639
287,18642
288,18661
289,18688
290,18700
291,18724
292,18900
293,18903
294,19004
295,19030
296,19049
297,19064
298,19079
299,19156
300,19183
301,19223
302,19303
303,19312
304,19317
305,19343
306,19382
307,19463
308,19519
309,19614
310,19776
311,19879
312,19886
313,19911
314,19958
315,19981
316,20055
317,20117
318,20326
319,20332
320,20499
321,20633
322,20706
323,20746
324,20809
325,20850
326,20919
327,21017
328,21072
329,21105
330,21134
331,21139
332,21144
333,21170
334,21212
335,21238
336,21286
337,21333
338,21341
339,21488
340,21658
341,21666
342,21710
343,21746
344,21846
345,21881
346,21970
347,22021
348,22072
349,22136
350,22181
351,22242
352,22548
353,22557
354,22584
355,22645
356,22751
357,22771
358,22831
359,22987
360,23074
361,23096
362,23114
363,23120
364,23125
365,23144
366,23169
367,23171
368,23357
369,23506
370,23559
371,23714
372,23741
373,23781
374,23899
375,23941
376,23957
377,24010
378,24011
379,24015
380,24049
381,24119
382,24123
383,24142
384,24177
385,24202
386,24219
387,24235
388,24334
389,24373
390,24490
391,24561
392,24563
393,24643
394,24650
395,24652
396,24656
397,24686
398,24731
399,24770
400,24798
401,25197
402,25226
403,25290
404,25409
405,25530
406,25553
407,25601
408,25635
409,25668
410,25890
411,25900
412,26086
413,26169
414,26318
415,26348
416,26594
417,26640
418,26723
419,26742
420,26777
421,26809
422,26943
423,26996
424,27020
425,27061
426,27188
427,27232
428,27259
429,27375
430,27665
431,27669
432,27703
433,27738
434,27762
435,27823
436,27917
437,27931
438,27990
439,28026
440,28041
441,28053
442,28157
443,28168
444,28225
445,28300
446,28318
447,28355
448,28478
449,28505
450,28549
