order,value
800,7
801,0
802,0
803,3
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,3
812,0
813,0
814,3
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,3
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,9
842,9
843,0
844,5
845,5
846,11
847,0
848,0
849,0
850,0
851,0
852,0
853,16
854,22
855,44
856,24
857,37
858,31
859,46
860,20
861,5
862,0
863,0
864,5
865,29
866,44
867,53
868,38
869,25
870,77
871,57
872,61
873,62
874,75
875,74
876,77
877,66
878,55
879,46
880,68
881,48
882,24
883,42
884,53
885,44
886,72
887,62
888,9
889,38
890,55
891,11
892,70
893,62
894,64
895,27
896,77
897,59
898,59
899,59
900,48
901,57
902,68
903,61
904,48
905,59
906,72
907,75
908,68
909,0
910,20
911,62
912,0
913,62
914,70
915,64
916,74
917,53
918,61
919,68
920,66
921,57
922,59
923,48
924,51
925,66
926,64
927,64
928,62
929,59
930,55
931,74
932,53
933,74
934,3
935,68
936,57
937,62
938,49
939,49
940,20
941,64
942,79
943,72
944,0
945,0
946,61
947,42
948,46
949,51
950,44
951,53
952,5
953,48
954,40
955,51
956,20
957,27
958,33
959,53
960,85
961,79
962,99
963,86
964,85
965,83
966,68
967,68
968,61
969,61
970,64
971,74
972,68
973,81
974,62
975,55
976,62
977,64
978,75
979,75
980,75
981,85
982,85
983,61
984,70
985,75
986,75
987,70
988,74
989,64
990,70
991,59
992,66
993,57
994,59
995,61
996,35
997,33
998,0
999,0
1000,42
1001,46
1002,49
1003,0
1004,0
1005,0
1006,25
1007,61
1008,27
1009,14
1010,18
1011,0
1012,0
1013,18
1014,5
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,0
1095,0
1096,3
1097,0
1098,14
1099,0
1100,0
1101,5
1102,0
1103,0
1104,0
1105,0
1106,12
1107,9
1108,51
1109,0
1110,0
1111,0
