Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,RAKE,UNCOMPRESSED,26455399,3000,29730,205075.0,1.7244786411032627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,CHIMP,UNCOMPRESSED,1840200,688101,29730,45267.0,0.38065085771947527
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,0,BUFF,UNCOMPRESSED,10790200,1674600,29730,85490.0,0.718886646485032
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,PLAIN,UNCOMPRESSED,2469800,228700,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,TS_2DIFF,UNCOMPRESSED,538800,409000,29730,37690.0,0.31693575512949884
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,RLE,UNCOMPRESSED,2150500,782200,29730,30311.0,0.25488563740329634
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,SPRINTZ,UNCOMPRESSED,6714601,678400,29730,32162.0,0.2704507231752439
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,GORILLA,UNCOMPRESSED,964000,442400,29730,32286.0,0.27149344096871847
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,RLBE,UNCOMPRESSED,169691599,3003300,29730,73440.0,0.6175580221997982
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,RAKE,UNCOMPRESSED,26179400,2700,29730,76731.0,0.6452320887991927
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,CHIMP,UNCOMPRESSED,2477501,1513600,29730,37508.0,0.31540531449714093
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel1.csv,1,BUFF,UNCOMPRESSED,3283100,660101,29730,33463.0,0.2813908509922637
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,PLAIN,UNCOMPRESSED,2841000,254000,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,TS_2DIFF,UNCOMPRESSED,616200,478800,29730,44523.0,0.37439455095862767
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,RLE,UNCOMPRESSED,1301600,564201,29730,115349.0,0.969971409350824
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,SPRINTZ,UNCOMPRESSED,6014400,979201,29730,45828.0,0.38536831483350154
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,GORILLA,UNCOMPRESSED,1913000,860599,29730,68939.0,0.5797090480995627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,RLBE,UNCOMPRESSED,28802801,1626300,29730,26256.0,0.22078708375378406
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,RAKE,UNCOMPRESSED,21076000,9200,29730,205075.0,1.7244786411032627
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,CHIMP,UNCOMPRESSED,2082099,1410500,29730,45267.0,0.38065085771947527
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,0,BUFF,UNCOMPRESSED,9230500,1824199,29730,85490.0,0.718886646485032
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,PLAIN,UNCOMPRESSED,2535700,372500,29730,118920.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,TS_2DIFF,UNCOMPRESSED,683700,639800,29730,24029.0,0.2020602085435587
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,RLE,UNCOMPRESSED,1495699,639900,29730,18071.0,0.15195930036999664
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,SPRINTZ,UNCOMPRESSED,5985899,544201,29730,21035.0,0.1768836192398251
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,GORILLA,UNCOMPRESSED,865000,430601,29730,21574.0,0.1814160780356542
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\TY-Fuel\syndata_fuel2.csv,1,RLBE,UNCOMPRESSED,154258000,2260301,29730,74853.0,0.6294399596367306
