Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,RAKE,UNCOMPRESSED,3854300,4199,3707,20584.0,1.388184515780955
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,CHIMP,UNCOMPRESSED,616500,269500,3707,13623.0,0.9187348260048557
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,0,BUFF,UNCOMPRESSED,1388601,340499,3707,13454.0,0.9073374696520097
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,PLAIN,UNCOMPRESSED,417899,67501,3707,14828.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,TS_2DIFF,UNCOMPRESSED,126899,115601,3707,3395.0,0.22895872673320744
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,RLE,UNCOMPRESSED,249800,109899,3707,5123.0,0.345495009441597
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,SPRINTZ,UNCOMPRESSED,918100,197201,3707,3354.0,0.22619368761801997
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,GORILLA,UNCOMPRESSED,239599,136300,3707,5149.0,0.3472484488804964
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,RLBE,UNCOMPRESSED,18566300,473801,3707,10137.0,0.6836390612355004
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,RAKE,UNCOMPRESSED,4421901,3300,3707,10239.0,0.6905179390342595
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,CHIMP,UNCOMPRESSED,259700,167501,3707,4467.0,0.30125438359859724
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks1.csv,1,BUFF,UNCOMPRESSED,571800,191200,3707,5114.0,0.3448880496358241
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,PLAIN,UNCOMPRESSED,375699,59999,3710,14840.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,TS_2DIFF,UNCOMPRESSED,143999,124300,3710,8907.0,0.6002021563342318
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,RLE,UNCOMPRESSED,230000,119899,3710,14403.0,0.9705525606469003
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,SPRINTZ,UNCOMPRESSED,814100,158600,3710,10414.0,0.7017520215633423
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,GORILLA,UNCOMPRESSED,306301,132000,3710,10764.0,0.7253369272237197
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,RLBE,UNCOMPRESSED,12922500,359901,3710,9836.0,0.6628032345013477
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,RAKE,UNCOMPRESSED,3153000,2800,3710,20600.0,1.3881401617250675
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,CHIMP,UNCOMPRESSED,527100,225700,3710,13634.0,0.918733153638814
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,0,BUFF,UNCOMPRESSED,1105300,268201,3710,13465.0,0.907345013477089
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,PLAIN,UNCOMPRESSED,372901,55901,3710,14840.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,TS_2DIFF,UNCOMPRESSED,111301,99500,3710,3461.0,0.2332210242587601
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,RLE,UNCOMPRESSED,240500,105799,3710,5123.0,0.34521563342318057
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,SPRINTZ,UNCOMPRESSED,752299,155101,3710,3355.0,0.22607816711590298
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,GORILLA,UNCOMPRESSED,181899,107600,3710,5606.0,0.37776280323450134
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\Nifty-Stocks\syndata_stocks2.csv,1,RLBE,UNCOMPRESSED,25072900,284900,3710,9732.0,0.6557951482479785
