Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,0,RLBE,UNCOMPRESSED,433720300,3294500,75809,139729.0,0.4607929137701328
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,0,RAKE,UNCOMPRESSED,33655200,4600,75809,463850.0,1.5296666622696513
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,0,CHIMP,UNCOMPRESSED,3812200,2075100,75809,138392.0,0.45638380667203104
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,0,BUFF,UNCOMPRESSED,11949400,2860900,75809,236920.0,0.7813056497249667
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,PLAIN,UNCOMPRESSED,7207100,583100,75809,303236.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,TS_2DIFF,UNCOMPRESSED,1346200,1193200,75809,102827.0,0.3390989196533393
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,RLE,UNCOMPRESSED,4483400,1327500,75809,303190.0,0.9998483029719426
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,SPRINTZ,UNCOMPRESSED,13922000,1638800,75809,117355.0,0.3870087984276273
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,GORILLA,UNCOMPRESSED,7123400,1573300,75809,286489.0,0.9447723885026844
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,RLBE,UNCOMPRESSED,991595500,32379300,75809,221080.0,0.7290691078895646
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,RAKE,UNCOMPRESSED,117669100,3900,75809,786657.0,2.594207152185097
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,CHIMP,UNCOMPRESSED,6068100,7396300,75809,96433.0,0.318013032753367
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes1.csv,1,BUFF,UNCOMPRESSED,9825500,3057900,75809,85302.0,0.2813056497249667
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,PLAIN,UNCOMPRESSED,9381500,1244600,75809,303236.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,TS_2DIFF,UNCOMPRESSED,2298000,72710900,75809,115584.0,0.3811684628474192
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,RLE,UNCOMPRESSED,19935000,4027500,75809,294093.0,0.969848566792861
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,SPRINTZ,UNCOMPRESSED,34767600,2591600,75809,144272.0,0.47577464417153637
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,GORILLA,UNCOMPRESSED,6653700,2509000,75809,238045.0,0.7850156313894129
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\USGS-Earthquakes\syndata_earthquakes2.csv,0,RLBE,UNCOMPRESSED,887606100,9406500,75809,139729.0,0.4607929137701328
