Input Direction,Column Index,Encoding Algorithm,Compress Algorithm,Encoding Time,Decoding Time,Points,Compressed Size,Compression Ratio
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,0,RAKE,UNCOMPRESSED,63053200,2400,58373,381991.0,1.6359918112826135
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,0,CHIMP,UNCOMPRESSED,4260700,8044100,58373,97825.0,0.41896510372946394
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,0,BUFF,UNCOMPRESSED,18600900,3351000,58373,211619.0,0.9063222722834187
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,PLAIN,UNCOMPRESSED,7349800,818600,58373,233492.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,TS_2DIFF,UNCOMPRESSED,1811900,1283300,58373,51104.0,0.21886831240470767
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,RLE,UNCOMPRESSED,2738900,1311700,58373,35751.0,0.15311445360012335
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,SPRINTZ,UNCOMPRESSED,56716100,1100500,58373,33404.0,0.1430627173522005
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,GORILLA,UNCOMPRESSED,1301600,1199400,58373,25679.0,0.10997807205386052
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,RLBE,UNCOMPRESSED,116738900,2169600,58373,49853.0,0.21351052712726776
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,RAKE,UNCOMPRESSED,44604700,3200,58373,148923.0,0.6378077193222894
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,CHIMP,UNCOMPRESSED,2432100,2102100,58373,62672.0,0.2684117657136005
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic1.csv,1,BUFF,UNCOMPRESSED,4943100,1072100,58373,65686.0,0.2813201308824285
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,PLAIN,UNCOMPRESSED,1575100,231400,17785,71140.0,1.0
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,TS_2DIFF,UNCOMPRESSED,473300,453100,17785,20818.0,0.2926342423390498
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,RLE,UNCOMPRESSED,1069300,338300,17785,69020.0,0.970199606409896
C:\Users\Jinnsjao Shawl\Documents\GitHub\encoding-reorder\reorder\iotdb_test_small\GW-Magnetic\syndata_magnetic2.csv,0,SPRINTZ,UNCOMPRESSED,3592300,574200,17785,28064.0,0.3944897385437166
